Year,Cote_d_Ivoire,Ghana,Nigeria
2020,2200000,800000,270000
2021,2250000,1040000,290000
2022,2400000,680000,280000
2023,2280000,650000,275000
2024,1800000,450000,240000
2025,1900000,500000,250000
